Date,Open,High,Low,Close,Volume,Turnover
2019-01-01,232.75,238.35,232.6,237.5,11522316.0,2023400000.0
2019-01-02,237.3,238.45,233.5,234.1,13243472.0,2375700000.0
2019-01-03,234.85,235.8,233.3,233.95,10689635.0,1818500000.0
2019-01-04,234.4,236.75,233.25,235.9,11127668.0,1791399999.9999998
2019-01-07,237.75,242.1,237.6,239.05,19023899.0,3534400000.0
2019-01-08,239.75,241.4,238.2,239.0,10623571.0,1888700000.0
2019-01-09,240.0,241.25,236.7,240.55,10526150.0,1795700000.0
2019-01-10,242.0,242.95,238.1,239.9,17121181.0,3185400000.0
2019-01-11,239.85,240.05,236.1,236.65,10090606.0,1453800000.0
2019-01-14,236.7,236.7,232.95,234.35,8314976.0,1125300000.0
2019-01-15,235.15,239.6,235.0,238.55,12724413.0,1561200000.0
2019-01-16,238.55,240.2,237.55,238.55,7691677.0,1298200000.0
2019-01-17,238.7,242.45,238.55,241.4,12150984.0,2663600000.0
2019-01-18,242.7,242.9,237.15,238.3,8696914.0,1890300000.0
2019-01-21,238.15,238.45,233.95,234.9,8915112.0,1046900000.0
2019-01-22,233.7,236.95,233.4,236.65,11580082.0,1553200000.0
2019-01-23,237.3,237.45,234.8,235.5,12755063.0,1549100000.0
2019-01-24,236.65,242.15,236.35,240.6,16911282.0,2131699999.9999998
2019-01-25,240.9,241.9,225.4,230.05,26190791.0,4190400000.0
2019-01-28,231.4,232.0,227.5,229.3,15844441.0,2687700000.0
2019-01-29,228.9,231.05,226.65,228.2,10175972.0,1256100000.0
2019-01-30,229.25,229.3,224.65,226.5,9483138.0,1595800000.0000002
2019-01-31,227.6,230.6,226.2,228.55,16966270.0,1746900000.0
2019-02-01,229.05,241.4,228.4,231.4,27609804.0,3569400000.0
2019-02-04,231.75,231.75,227.35,229.1,9532729.0,1445000000.0
2019-02-05,228.7,230.15,223.25,223.95,12293315.0,1941000000.0
2019-02-06,224.05,226.2,220.65,225.1,16956746.0,2649100000.0000005
2019-02-07,225.25,227.45,224.45,224.95,10941433.0,1555400000.0
2019-02-08,225.45,230.0,223.9,226.65,16402286.0,2675200000.0
2019-02-11,226.65,226.95,222.65,224.35,12401226.0,1335100000.0
2019-02-12,223.45,225.25,220.75,221.2,10556774.0,1623600000.0000002
2019-02-13,222.85,224.6,221.6,222.05,15553024.0,1808899999.9999998
2019-02-14,221.8,223.8,220.85,223.1,34433497.0,1263800000.0
2019-02-15,223.45,224.2,220.6,222.55,18021475.0,1530300000.0
2019-02-18,223.35,226.55,223.3,224.25,19394941.0,1512800000.0
2019-02-19,227.0,230.6,226.65,228.1,24629447.0,3823200000.0
2019-02-20,229.5,231.1,226.15,228.7,21615845.0,2513200000.0
2019-02-21,228.65,230.7,227.65,229.6,26714437.0,2363800000.0
2019-02-22,230.35,233.7,230.15,233.15,21343690.0,2227900000.0
2019-02-25,238.8,239.65,230.6,231.45,19844406.0,3850500000.0
2019-02-26,226.85,228.75,223.15,227.65,9764122.0,1919700000.0
2019-02-27,228.3,231.45,226.05,228.0,8524440.0,1623200000.0
2019-02-28,227.75,231.35,226.85,230.25,8234594.0,1549500000.0
2019-03-01,232.0,232.8,229.5,230.35,6497891.0,1173700000.0
2019-03-05,230.7,235.65,230.5,234.95,13047846.0,2072500000.0
2019-03-06,235.0,239.3,235.0,236.85,20195806.0,3534800000.0
2019-03-07,237.15,238.6,235.45,236.05,9055291.0,1664800000.0
2019-03-08,235.05,237.55,234.75,236.5,7416408.0,1633100000.0
2019-03-11,237.35,239.4,237.3,238.65,7908521.0,1278400000.0
2019-03-12,240.9,247.75,240.35,244.9,29654021.0,4827800000.0
2019-03-13,246.9,249.55,245.8,246.35,24571454.0,4767800000.0
2019-03-14,247.55,252.35,245.65,251.8,34321714.0,5958099999.999999
2019-03-15,253.3,254.0,250.75,251.6,15748008.0,3081300000.0
2019-03-18,252.2,259.3,252.15,258.7,23035991.0,4959900000.0
2019-03-19,259.95,261.25,258.1,259.0,20568432.0,4442000000.0
2019-03-20,261.1,266.3,260.85,265.3,22448933.0,4748400000.0
2019-03-22,266.0,271.6,265.3,266.95,21984040.0,5877200000.0
2019-03-25,264.35,264.85,260.45,261.8,13051050.0,3561700000.0
2019-03-26,263.5,269.1,262.8,264.05,36347235.0,7508200000.000001
2019-03-27,265.95,266.35,260.8,262.85,17850408.0,4082799999.9999995
