record_date,Incident_Rate,Deaths,Recovered,Confirmed
2020-02-01,0.0,0.0,0.0,1
2020-02-02,0.0,0.0,0.0,2
2020-02-03,0.0,0.0,0.0,3
2020-02-04,0.0,0.0,0.0,3
2020-02-05,0.0,0.0,0.0,3
2020-02-06,0.0,0.0,0.0,3
2020-02-07,0.0,0.0,0.0,3
2020-02-08,0.0,0.0,0.0,3
2020-02-09,0.0,0.0,0.0,3
2020-02-10,0.0,0.0,0.0,3
2020-02-11,0.0,0.0,0.0,3
2020-02-12,0.0,0.0,0.0,3
2020-02-13,0.0,0.0,0.0,3
2020-02-14,0.0,0.0,0.0,3
2020-02-15,0.0,0.0,0.0,3
2020-02-16,0.0,0.0,3.0,3
2020-02-17,0.0,0.0,3.0,3
2020-02-18,0.0,0.0,3.0,3
2020-02-19,0.0,0.0,3.0,3
2020-02-20,0.0,0.0,3.0,3
2020-02-21,0.0,0.0,3.0,3
2020-02-22,0.0,0.0,3.0,3
2020-02-23,0.0,0.0,3.0,3
2020-02-24,0.0,0.0,3.0,3
2020-02-25,0.0,0.0,3.0,3
2020-02-26,0.0,0.0,3.0,3
2020-02-27,0.0,0.0,3.0,3
2020-02-28,0.0,0.0,3.0,3
2020-02-29,0.0,0.0,3.0,3
2020-03-01,0.0,0.0,3.0,3
2020-03-02,0.0,0.0,3.0,5
2020-03-03,0.0,0.0,3.0,5
2020-03-04,0.0,0.0,3.0,28
2020-03-05,0.0,0.0,3.0,30
2020-03-06,0.0,0.0,3.0,31
2020-03-07,0.0,0.0,3.0,34
2020-03-08,0.0,0.0,3.0,39
2020-03-09,0.0,0.0,3.0,43
2020-03-10,0.0,0.0,4.0,56
2020-03-11,0.0,1.0,4.0,62
2020-03-12,0.0,1.0,4.0,73
2020-03-13,0.0,2.0,4.0,82
2020-03-14,0.0,2.0,4.0,102
2020-03-15,0.0,2.0,13.0,113
2020-03-16,0.0,2.0,13.0,119
2020-03-17,0.0,3.0,14.0,142
2020-03-18,0.0,3.0,14.0,156
2020-03-19,0.0,4.0,15.0,194
2020-03-20,0.0,5.0,20.0,244
2020-03-21,0.0,4.0,23.0,330
2020-03-22,0.0,7.0,24.0,396
2020-03-23,0.0,10.0,34.0,499
2020-03-24,0.0,10.0,40.0,536
2020-03-25,0.0,12.0,43.0,657
2020-03-26,0.0,20.0,45.0,727
2020-03-27,0.0,20.0,73.0,887
2020-03-28,0.0,24.0,84.0,987
2020-03-29,0.0,27.0,95.0,1024
2020-03-30,0.0,32.0,102.0,1251
2020-03-31,0.0,35.0,123.0,1397
2020-04-01,0.0,58.0,148.0,1998
2020-04-02,0.0,72.0,191.0,2543
2020-04-03,0.0,72.0,192.0,2567
2020-04-04,0.0,86.0,229.0,3082
2020-04-05,0.0,99.0,229.0,3588
2020-04-06,0.0,136.0,375.0,4778
2020-04-07,0.0,150.0,421.0,5311
2020-04-08,0.0,178.0,506.0,5916
2020-04-09,0.0,226.0,620.0,6725
2020-04-10,0.0,246.0,774.0,7598
2020-04-11,0.0,288.0,969.0,8446
2020-04-12,0.0,331.0,1080.0,9205
2020-04-13,0.0,358.0,1181.0,10453
2020-04-14,0.0,393.0,1359.0,11487
2020-04-15,0.0,405.0,1432.0,12322
2020-04-16,0.0,448.0,1768.0,13430
2020-04-17,0.0,486.0,2041.0,14352
2020-04-18,0.0,521.0,2463.0,15722
2020-04-19,0.0,559.0,2854.0,17615
2020-04-20,0.0,592.0,3273.0,18539
2020-04-21,0.0,645.0,3975.0,20080
2020-04-22,0.0,681.0,4370.0,21370
2020-04-23,0.0,721.0,5012.0,23077
2020-04-24,0.0,780.0,5498.0,24530
2020-04-25,0.0,825.0,5939.0,26283
2020-04-26,0.0,881.0,6523.0,27890
2020-04-27,0.0,939.0,7137.0,29451
2020-04-28,0.0,1008.0,7747.0,31324
2020-04-29,0.0,1079.0,8437.0,33062
2020-04-30,0.0,1154.0,9068.0,34863
2020-05-01,0.0,1223.0,10007.0,37257
2020-05-02,0.0,1323.0,10819.0,39699
