,Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
235,India,885.0554867999999,1.408832295,52,3494,3712,2020-09-23
236,India,1186.014394,0.854212876,5506,570667,646530,2020-09-23
237,India,499.4721285,0.178480367,14,5903,8133,2020-09-23
238,India,453.26150260000003,0.36308885799999996,597,132712,163491,2020-09-23
239,India,137.22363909999999,0.5097661379999999,874,159022,172854,2020-09-23
240,India,910.3362788999999,1.232694861,140,8049,10726,2020-09-23
241,India,308.86087280000004,0.789731293,728,56773,93351,2020-09-23
242,India,478.1363078,0.067934783,2,2755,2962,2020-09-23
243,India,1352.552269,1.9958510319999998,5087,220866,256789,2020-09-23
244,India,1849.8345149999998,1.254132161,376,23857,29879,2020-09-23
245,India,197.27926609999997,2.660169673,3367,107574,127379,2020-09-23
246,India,407.27266230000004,1.0498824759999998,1233,96347,116856,2020-09-23
247,India,171.3510079,1.049416556,140,8959,13049,2020-09-23
248,India,486.9869296,1.572569083,1062,46530,67510,2020-09-23
249,India,191.6051708,0.8668253370000001,648,61559,75089,2020-09-23
250,India,790.1550865,1.541256907,8266,437910,540847,2020-09-23
251,India,399.8829898,0.400683684,592,104682,148132,2020-09-23
252,India,1417.118441,1.286339079,51,2844,3933,2020-09-23
253,India,0.0,,0,0,0,2020-09-23
254,India,129.70049479999997,1.8381190669999998,2077,88168,113057,2020-09-23
255,India,1009.198783,2.688108017,33886,956030,1263799,2020-09-23
256,India,300.1735378,0.6465517239999999,62,7108,9376,2020-09-23
257,India,142.305099,0.79315383,42,2859,4961,2020-09-23
258,India,138.22943669999998,0.0,0,1095,1713,2020-09-23
259,India,249.1004336,0.267665953,16,4536,5671,2020-09-23
260,India,406.22496160000003,0.38287726200000005,736,157265,192548,2020-09-23
261,India,1675.507343,1.9971288630000001,481,18893,24227,2020-09-23
262,India,336.21892410000004,2.887281554,2990,79244,103464,2020-09-23
263,India,146.5988621,1.150741205,1382,100365,120739,2020-09-23
264,India,375.805323,1.117964534,30,2023,2628,2020-09-23
265,India,710.0012902000001,1.618856686,9010,502740,557999,2020-09-23
266,India,449.8417437,0.599762806,1070,148139,179246,2020-09-23
267,India,559.6919176,1.084068901,260,16978,23789,2020-09-23
268,India,,,0,0,0,2020-09-23
269,India,153.24483940000002,1.4297353119999998,5299,302689,369686,2020-09-23
270,India,379.091088,1.200440787,529,31324,43720,2020-09-23
271,India,232.39194840000002,1.936634929,4544,205028,234673,2020-09-23
