Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1055.7841529268455,1.3627072450601865,60,4175,4403,2020-11-05
India,1550.8355846913016,0.8082990311656277,6757,807318,835953,2020-11-05
India,970.6722497513464,0.2820781946995539,43,13580,15244,2020-11-05
India,584.3058166111482,0.4489219145029656,934,199458,208054,2020-11-05
India,175.7605208836422,0.5110577208010978,1121,211872,219349,2020-11-05
India,1277.0258780308216,1.547924834392321,229,13862,14794,2020-11-05
India,666.6376548003037,1.2026519494682342,2360,170760,196233,2020-11-05
India,530.7572873560232,0.0611995104039167,2,3230,3268,2020-11-05
India,2226.790320648015,1.624613287315824,6769,371155,416653,2020-11-05
India,2808.132387706856,1.4143318965517242,630,41849,44544,2020-11-05
India,277.79761333216874,2.1100565837823213,3744,161388,177436,2020-11-05
India,624.527294962129,1.0553745188650323,1859,159643,176146,2020-11-05
India,319.5000506578475,1.5162333571338569,361,19780,23809,2020-11-05
India,714.5502972148238,1.5603143256809018,1517,89905,97224,2020-11-05
India,268.28817823975925,0.8634094047883488,894,97964,103543,2020-11-05
India,1241.7046296827216,1.348385858636428,11312,794503,838929,2020-11-05
India,1306.6478376147213,0.3457915475082857,1613,380650,466466,2020-11-05
India,2418.2522813528794,1.1910146238504449,79,5802,6633,2020-11-05
India,0.0,,0,0,0,2020-11-05
India,204.8115274124985,1.7114257114257114,2992,164067,174825,2020-11-05
India,1383.2918495900535,2.630200934107608,44804,1551282,1703444,2020-11-05
India,638.03049931345,0.9581749049429658,189,15750,19725,2020-11-05
India,293.84770295035804,0.9198423127463864,91,8813,9893,2020-11-05
India,241.27613286810345,0.0668896321070234,2,2473,2990,2020-11-05
India,411.7891536408269,0.4857512953367875,45,8161,9264,2020-11-05
India,641.2802185781127,0.4635454160135094,1378,283533,297274,2020-11-05
India,2514.958876354576,1.679324894514768,597,33123,35550,2020-11-05
India,450.6563121726406,3.1516409735412343,4281,126932,135834,2020-11-05
India,253.97157929684403,0.9499514091350826,1955,187544,205800,2020-11-05
India,592.9727012347682,1.832396774981676,75,3778,4093,2020-11-05
India,946.5120859350864,1.5299066067480391,11272,706444,736777,2020-11-05
India,628.2185901120888,0.5524012875883599,1366,226646,247284,2020-11-05
India,751.7637561951503,1.129294669346349,354,29666,31347,2020-11-05
India,,,0,0,0,2020-11-05
India,206.55303994857127,1.4512958070963091,7131,461073,491354,2020-11-05
India,569.423238654332,1.6342776867244204,1047,59338,64065,2020-11-05
India,395.067516936646,1.8098006728941565,7122,350449,393524,2020-11-05
