Date,Open,High,Low,Close,Volume,Turnover
2019-12-02,281.7,282.3,277.95,281.05,9772071,2250700000.0
2019-12-03,281.6,285.55,280.25,284.8,14579126,3995500000.0
2019-12-04,283.65,286.45,281.9,285.35,13819805,3381800000.0
2019-12-05,285.7,287.7,284.15,285.85,13351899,2877400000.0
2019-12-06,286.7,286.9,281.1,283.4,11324751,2507000000.0
2019-12-09,283.5,284.85,278.9,280.45,11033432,2558100000.0
2019-12-10,278.85,280.4,277.05,277.9,10721953,2194200000.0
2019-12-11,278.65,282.4,277.7,280.5,14766865,3400899999.9999995
2019-12-12,282.5,283.7,280.0,282.9,13909274,3298300000.0
2019-12-13,284.15,288.55,284.15,287.65,18088782,4072400000.0
2019-12-16,287.15,289.85,287.05,289.35,9702765,2429400000.0
2019-12-17,289.45,290.65,287.65,288.6,8663003,2389000000.0
2019-12-18,289.0,290.95,287.2,290.55,11289920,3046400000.0
2019-12-19,289.85,291.15,288.4,290.4,6618492,1821699999.9999998
2019-12-20,290.65,292.7,289.6,291.95,9348456,2404000000.0
2019-12-23,291.7,294.25,288.45,290.7,9817522,2145700000.0
2019-12-24,290.75,292.55,290.35,291.95,7464624,1726900000.0
2019-12-26,292.4,293.05,290.25,291.4,6532497,1557600000.0
2019-12-27,291.5,296.9,291.2,296.1,8902289,2327700000.0
2019-12-30,296.9,297.8,293.95,296.45,6657935,1754100000.0
2019-12-31,296.15,299.05,295.8,298.55,13947533,2512200000.0
2020-01-01,299.45,300.65,296.9,297.85,12878961,1882300000.0
2020-01-02,299.15,302.4,298.2,301.0,12237219,2082900000.0
2020-01-03,300.7,302.15,298.35,299.65,9712668,1811800000.0
2020-01-06,299.1,299.75,292.05,292.4,17160303,2897799999.9999995
2020-01-07,294.4,298.95,293.95,298.05,10287489,2297500000.0
2020-01-08,292.25,297.9,291.35,297.05,13377734,2520000000.0
2020-01-09,300.65,305.8,300.2,305.15,18103713,4029700000.0000005
2020-01-10,308.05,311.75,305.9,310.65,23237643,5543900000.0
2020-01-13,312.0,317.65,311.85,317.15,21595639,5107800000.0
2020-01-14,317.35,318.45,314.65,316.75,13116258,2958000000.0
2020-01-15,315.6,322.65,315.6,320.9,15290571,3583700000.0
2020-01-16,321.75,324.8,320.7,323.8,10929988,2671600000.0000005
2020-01-17,323.25,325.05,322.35,324.15,10556921,2630700000.0
2020-01-20,324.95,327.0,323.2,325.8,14372108,3877600000.0
2020-01-21,325.15,325.3,320.1,321.15,9400990,2730899999.9999995
2020-01-22,322.65,323.05,318.85,320.85,8135501,2211500000.0
2020-01-23,321.35,328.05,321.15,327.65,11243092,3178300000.0
2020-01-24,329.2,330.25,326.8,328.65,11253589,3291600000.0000005
2020-01-27,328.8,332.4,325.55,326.8,11546185,3201300000.0
2020-01-28,326.8,329.25,325.2,326.95,11245597,2835000000.0
2020-01-29,329.45,331.85,327.6,328.5,9391548,2651800000.0
2020-01-30,329.75,330.05,323.55,327.15,9798856,2746100000.0
2020-01-31,329.85,331.9,326.5,331.05,19472690,4429400000.0
2020-02-01,329.7,336.35,302.9,305.0,29269941,7153900000.0
2020-02-03,303.5,312.55,298.7,310.0,25056162,6941000000.0
2020-02-04,310.1,322.2,308.6,318.6,22765958,5549700000.0
2020-02-05,321.35,329.95,318.75,326.4,17529955,5260100000.0
2020-02-06,324.1,329.8,322.3,326.25,23676233,5811400000.0
2020-02-07,325.8,326.8,319.45,320.3,17123995,4031000000.0
2020-02-10,320.5,321.0,315.1,317.1,11231560,2533800000.0
2020-02-11,318.9,320.9,316.25,317.8,11700389,2646600000.0000005
2020-02-12,318.0,318.65,311.4,315.2,10091917,2512900000.0
2020-02-13,315.75,316.7,311.8,313.8,9420015,2681800000.0
2020-02-14,314.95,315.4,309.05,310.3,10833424,2689400000.0
2020-02-17,311.95,312.5,304.15,305.7,12397470,3041700000.0
2020-02-18,304.6,305.35,300.35,302.85,10212036,2315700000.0
2020-02-19,306.1,308.45,301.9,306.2,10008877,2497600000.0
2020-02-20,305.9,309.0,304.65,306.25,13122599,3193300000.0
2020-02-24,304.15,305.8,298.7,299.75,10623802,2366600000.0
2020-02-25,300.7,304.7,300.4,302.55,11887860,3001000000.0
2020-02-26,300.7,302.0,295.05,297.5,10032688,2115300000.0
2020-02-27,296.7,297.1,288.0,290.3,12735540,2590700000.0
2020-02-28,282.75,284.1,275.8,280.55,18266659,4146800000.0
2020-03-02,284.9,289.1,277.2,279.65,16387962,3085200000.0
2020-03-03,280.85,287.1,280.0,284.15,16081109,3278500000.0
2020-03-04,286.3,288.25,273.6,281.05,13998010,3065000000.0
2020-03-05,283.6,284.85,275.45,277.85,14040131,3522799999.9999995
2020-03-06,268.45,271.15,265.1,269.75,12517593,2847700000.0
2020-03-09,263.05,264.05,256.65,260.0,14104878,3162600000.0
