Date,Open,High,Low,Close,Volume,Turnover
2019-12-02,8070.7,8087.35,7995.15,8012.75,66566458,24617199999.999996
2019-12-03,8021.65,8055.25,7931.75,7964.25,51977605,23139200000.0
2019-12-04,7946.65,8043.9,7916.95,7996.55,107569542,30027199999.999996
2019-12-05,8015.3,8045.5,7928.15,7941.8,58799891,21517800000.000004
2019-12-06,7964.2,7971.8,7781.05,7806.6,67759510,22971800000.0
2019-12-09,7853.75,7950.55,7826.3,7863.3,67176008,25900900000.0
2019-12-10,7888.7,7902.8,7778.5,7801.35,52183026,19401800000.0
2019-12-11,7823.3,7846.65,7773.6,7838.4,49071137,19050500000.0
2019-12-12,7878.4,7967.25,7866.05,7941.7,97282299,29249800000.0
2019-12-13,7989.55,8090.75,7986.65,8069.7,154790506,42631500000.0
2019-12-16,8087.75,8109.05,7981.95,7990.8,57313544,20774100000.0
2019-12-17,8028.1,8068.1,8013.85,8039.9,68358483,26696000000.0
2019-12-18,8061.0,8111.95,8039.25,8082.35,109141213,34449600000.0
2019-12-19,8082.2,8183.55,8058.4,8165.5,104431725,39131600000.0
2019-12-20,8169.9,8219.6,8121.2,8133.55,90494617,29821900000.0
2019-12-23,8137.85,8212.45,8120.75,8180.5,60822725,24521700000.0
2019-12-24,8206.1,8228.45,8142.6,8152.6,45268784,21395700000.0
2019-12-26,8166.35,8176.3,8120.45,8129.65,46004970,18729400000.0
2019-12-27,8155.4,8226.25,8145.4,8205.9,42217109,17605600000.0
2019-12-30,8232.05,8337.9,8218.8,8325.4,76938201,25749600000.0
2019-12-31,8326.45,8327.6,8236.85,8248.3,82304377,25111500000.0
2020-01-01,8262.5,8276.8,8200.25,8210.1,44710008,18020300000.0
2020-01-02,8226.6,8275.05,8206.85,8267.45,95024515,29817399999.999996
2020-01-03,8261.5,8261.65,8136.8,8168.15,76927732,24787600000.000004
2020-01-06,8132.65,8134.5,7967.2,7978.75,62846094,22855600000.0
2020-01-07,8029.9,8097.7,7961.2,8002.5,69137157,22702500000.0
2020-01-08,7921.65,8002.9,7900.8,7942.75,48307772,23003700000.0
2020-01-09,8035.45,8165.9,8022.35,8155.25,83425221,30848500000.0
2020-01-10,8177.55,8246.7,8147.65,8225.5,97824275,32240800000.0
2020-01-13,8244.25,8262.3,8192.05,8235.85,66635460,21937600000.000004
2020-01-14,8234.2,8297.7,8216.55,8289.3,67598217,22959600000.0
2020-01-15,8287.6,8395.7,8246.4,8385.35,80644300,27476600000.0
2020-01-16,8385.3,8414.35,8373.65,8395.9,67729374,26801800000.0
2020-01-17,8401.95,8463.25,8369.7,8427.6,50146035,23623500000.0
2020-01-20,8436.9,8459.45,8343.4,8352.7,65281378,19547700000.0
2020-01-21,8321.25,8325.8,8229.3,8245.9,61056949,18749600000.0
2020-01-22,8278.55,8294.05,8147.15,8169.15,64701562,23109500000.0
2020-01-23,8176.75,8251.85,8145.8,8241.75,60518993,21067399999.999996
2020-01-24,8246.45,8324.4,8234.95,8274.85,54172677,19714400000.0
2020-01-27,8243.35,8347.9,8189.0,8258.15,57326339,21553500000.0
2020-01-28,8290.1,8340.45,8125.9,8156.05,75179867,30857399999.999996
2020-01-29,8200.7,8264.6,8179.25,8220.4,81946729,31399100000.0
2020-01-30,8239.65,8267.55,8148.2,8181.45,103601158,36375700000.0
2020-01-31,8211.6,8238.75,8072.95,8086.55,125866539,35416400000.0
2020-02-01,8069.75,8200.25,7833.1,7880.3,82194325,30339000000.0
2020-02-03,7826.0,8016.8,7816.35,7988.35,124213082,37277900000.0
2020-02-04,8026.6,8142.1,7997.85,8100.8,101430536,35760200000.0
2020-02-05,8138.3,8212.2,8064.7,8131.7,165901552,46252800000.0
2020-02-06,8158.8,8189.2,8092.55,8142.15,113488793,39962900000.0
2020-02-07,8172.35,8173.6,8042.2,8064.6,96990047,33393800000.0
2020-02-10,8065.4,8067.35,7820.3,7860.55,120638033,36975700000.0
2020-02-11,7923.0,7969.3,7881.35,7892.4,84781272,27197100000.0
2020-02-12,7932.3,7961.1,7905.75,7933.8,71096518,22950500000.0
2020-02-13,7930.25,7933.4,7873.75,7914.9,87754381,22151900000.0
2020-02-14,7933.6,7977.15,7807.3,7822.2,95722834,28732600000.000004
2020-02-17,7833.15,7833.6,7742.45,7770.5,67993839,19864800000.0
2020-02-18,7758.0,7758.0,7620.5,7692.3,94588508,28021300000.0
