Date,Open,High,Low,Close,Volume,Turnover
2019-12-02,15056.85,15070.65,14819.4,14852.0,26527817,22332800000.000004
2019-12-03,14870.9,14956.45,14808.4,14920.75,23102025,21035300000.000004
2019-12-04,14918.5,15188.55,14896.6,15175.15,27219694,22956800000.0
2019-12-05,15164.15,15385.45,15101.8,15367.5,28794873,24500800000.0
2019-12-06,15383.45,15390.05,15269.25,15289.6,16934648,13637900000.0
2019-12-09,15309.7,15322.55,15136.25,15157.15,18193828,15272300000.0
2019-12-10,15120.05,15123.35,14903.25,14946.5,20105891,18599500000.0
2019-12-11,14972.0,15147.35,14963.65,15130.3,22965246,21297500000.0
2019-12-12,15151.1,15184.15,14890.6,14972.65,27121407,27502300000.0
2019-12-13,14987.9,15221.45,14965.15,15200.55,30121794,26855000000.0
2019-12-16,15263.75,15446.25,15223.1,15348.7,28614674,26667900000.0
2019-12-17,15417.55,15670.35,15387.2,15637.15,35675500,35897400000.0
2019-12-18,15680.5,15835.8,15649.15,15710.65,46723697,45259300000.0
2019-12-19,15741.2,15835.5,15654.7,15812.95,25099747,26298300000.0
2019-12-20,15811.95,15890.95,15781.25,15844.55,29982814,27396100000.0
2019-12-23,15811.4,15936.0,15809.05,15865.5,15891898,14147000000.0
2019-12-24,15877.4,15880.15,15739.45,15778.2,16014503,15701900000.0
2019-12-26,15784.45,15806.85,15690.95,15706.45,17848305,14722400000.0
2019-12-27,15740.4,15824.15,15657.5,15780.7,16652327,14588900000.000002
2019-12-30,15801.5,15868.95,15715.1,15775.0,16249651,14009900000.0
2019-12-31,15754.05,15775.25,15634.5,15652.4,19595240,15633900000.000002
2020-01-01,15705.9,15746.25,15676.7,15722.15,9390770,7963700000.0
2020-01-02,15754.9,15762.1,15679.65,15709.65,15228631,13596199999.999998
2020-01-03,15727.6,16004.45,15722.65,15936.6,26007478,24708700000.0
2020-01-06,15934.6,16067.65,15831.85,15879.8,24001823,20109200000.0
2020-01-07,15893.35,15988.7,15799.8,15895.2,24228858,18968700000.0
2020-01-08,15840.9,15974.85,15816.8,15953.45,27441490,27053400000.0
2020-01-09,15970.65,16017.25,15857.25,15925.15,27876904,25088100000.0
2020-01-10,16040.65,16059.35,15930.65,15959.9,20204002,16597400000.0
